//MonsterAreaInfoCount 96

//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//------------------------------------------------------------------------------------------------------------------------------
m	290	310	5	5	0	0	0	100	1	203
m	290	310	7	7	0	3	0	100	3	202
m	280	400	9	9	0	2	0	100	4	202
m	280	560	5	5	0	6	0	100	1	204
m	280	560	8	8	0	4	0	100	3	401
m	270	710	6	6	0	3	0	100	3	202
m	264	800	5	5	0	2	0	100	1	206
m	264	800	7	7	0	7	0	100	2	401
m	264	800	6	6	0	1	0	100	2	202
m	295	895	5	5	0	5	0	100	4	109
m	360	370	5	5	0	1	0	100	2	109
m	360	370	9	9	0	4	0	100	7	101
m	360	370	7	7	0	3	0	100	5	105
m	350	360	5	5	0	4	0	100	2	103
m	350	360	8	8	0	7	0	100	5	101
m	350	360	9	9	0	2	0	100	6	105
m	388	625	5	5	0	3	0	100	2	107
m	388	625	8	8	0	6	0	100	7	101
m	365	680	5	5	0	5	0	100	3	112
m	365	680	7	7	0	1	0	100	3	109
m	365	680	8	8	0	4	0	100	4	105
m	435	380	5	5	0	2	0	100	2	103
m	435	380	7	7	0	3	0	100	5	101
m	463	375	6	6	0	5	0	100	2	103
m	480	372	5	5	0	7	0	100	1	107
m	480	372	8	8	0	1	0	100	5	105
m	480	372	9	9	0	6	0	100	4	101
m	560	365	7	7	0	3	0	100	3	105
m	560	365	8	8	0	2	0	100	2	101
m	491	366	60	23	0	0	0	100	5	101
m	491	366	60	23	0	0	0	100	3	105
m	491	366	60	23	0	0	0	100	3	109
m	491	366	60	23	0	0	0	100	3	107
m	491	366	60	23	0	0	0	100	2	103
m	620	380	5	5	0	3	0	100	1	208
m	705	305	4	4	0	1	0	100	1	112
m	705	305	5	5	0	1	0	100	5	101
m	690	350	5	5	0	5	0	100	1	112
m	690	350	8	8	0	4	0	100	5	109
m	690	350	7	7	0	7	0	100	4	105
m	710	420	5	5	0	6	0	100	1	103
m	710	420	3	3	0	2	0	100	4	109
m	630	490	10	10	0	2	0	100	4	101
m	665	480	10	10	0	1	0	100	4	105
m	660	645	8	8	0	6	0	100	2	401
m	660	645	9	9	0	5	0	100	7	101
m	560	740	7	8	0	7	0	100	3	401
m	560	740	8	7	0	2	0	100	4	107
m	560	740	5	6	0	3	0	100	2	201
m	580	790	5	4	0	4	0	100	2	201
m	580	790	6	6	0	5	0	100	2	401
m	625	825	5	7	0	1	0	100	1	203
m	625	825	8	8	0	4	0	100	3	202
m	625	825	7	5	0	3	0	100	2	401
m	650	860	5	7	0	5	0	100	2	202
m	650	860	7	6	0	7	0	100	4	101
m	695	910	5	4	0	4	0	100	1	203
m	695	910	5	5	0	1	0	100	1	204
m	695	910	9	7	0	2	0	100	3	202
m	695	910	3	5	0	1	0	100	2	401
m	695	715	9	8	0	3	0	100	4	109
m	715	772	5	4	0	6	0	100	1	112
m	715	772	6	7	0	5	0	100	4	107
m	725	840	4	5	0	4	0	100	1	203
m	725	840	8	9	0	1	0	100	3	401
m	725	840	7	5	0	2	0	100	2	202
m	480	825	4	5	0	1	0	100	3	203
m	480	825	5	7	0	5	0	100	6	109
m	480	825	8	9	0	4	0	100	7	101
m	405	850	5	5	0	6	0	100	1	204
m	405	850	6	5	0	2	0	100	4	201
m	355	865	7	6	0	3	0	100	5	202
m	355	865	8	5	0	7	0	100	6	105
m	385	900	9	8	0	1	0	100	5	401
m	385	900	6	5	0	2	0	100	5	109
m	360	770	8	4	0	4	0	100	3	109
m	360	770	7	5	0	2	0	100	2	103
m	425	760	6	3	0	1	0	100	4	101
m	425	760	5	5	0	6	0	100	4	107
m	530	795	4	9	0	5	0	100	3	401
m	530	795	5	6	0	7	0	100	2	201
m	465	885	9	5	0	1	0	100	3	401
m	465	885	6	7	0	7	0	100	2	201
m	280	945	5	4	0	3	0	100	1	208
m	280	945	7	8	0	2	0	100	3	202
m	510	900	5	4	0	5	0	100	1	112
m	510	900	9	8	0	1	0	100	3	107
m	545	875	7	8	0	2	0	100	1	109
m	545	875	8	5	0	7	0	100	3	105
m	550	910	9	7	0	6	0	100	7	101
m	550	910	6	5	0	3	0	100	2	103
m	527	970	5	4	0	3	0	100	1	112
m	527	970	8	8	0	4	0	100	3	103
m	441	454	0	0	0	0	0	100	1	9001
m	442	491	0	0	0	4	0	100	1	9002
m	521	540	0	0	0	4	0	100	1	9003
