AFF_LOVE_POINT	Point d'amour : %d%%
ALIGNMENT_NAME	Points de grade :
ATTACK_ERROR_UNKNOWN	Erreur d'attaque inconnue : %s
CANNOT_ATTACK_DEST_IN_SAFE	L'adversaire est trop loin.
CANNOT_ATTACK_SELF_IN_SAFE	Je ne peux pas attaquer.
CANNOT_EQUIP_IN_EXCHANGE	Vous ne pouvez pas changer d'équipement pendant un échange.
CANNOT_EQUIP_IN_SHOP	Vous ne pouvez pas changer d'équipement pendant une transaction.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Vous ne pouvez pas ouvrir un magasin dans un espace public.
CANNOT_SHOOT_DEST_IN_SAFE	L'adversaire est trop loin.
CANNOT_SHOOT_EMPTY_ARROW	J'ai besoin d'une flèche.
CANNOT_SHOOT_SELF_IN_SAFE	Je ne peux pas attaquer l'adversaire d'ici.
CANNOT_SKILL_APPROACH	Je suis sûr que je ne peux pas aller au contact.
CANNOT_SKILL_ATTACK	Je ne peux pas attaquer ça.
CANNOT_SKILL_DEST_IN_SAFE	L'ennemi est trop éloigné.
CANNOT_SKILL_EQUIP_FISHING_ROD	J'ai besoin d'une canne à pêche.
CANNOT_SKILL_HAVE_TO_RIDE	Je dois avoir un cheval avant de pouvoir utiliser ceci.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Je n'ai pas de bouteille vide.
CANNOT_SKILL_NEED_POISON_BOTTLE	Je n'ai pas de fiole de poison.
CANNOT_SKILL_NEED_TARGET	Qui est la cible ?
CANNOT_SKILL_NOT_ENOUGH_HP	Je n'ai pas assez de PV !
CANNOT_SKILL_NOT_ENOUGH_SP	Je n'ai pas assez de PM !
CANNOT_SKILL_NOT_HORSE_SKILL	Je ne peux pas utiliser ceci pendant que je suis à cheval.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Vous ne pouvez pas utiliser cette compétence avec cette arme..
CANNOT_SKILL_NOT_YET_LEARN	Vous n'avez pas appris cette compétence.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Ceci n'affecte que les membres du Groupe.
CANNOT_SKILL_ONLY_FOR_CORPSE	Ceci n'affecte que les personnages morts.
CANNOT_SKILL_REMOVE_FISHING_ROD	Je ne peux pas utiliser cette compétence avec une canne à pêche.
CANNOT_SKILL_SELF_IN_SAFE	Je ne peux pas attaquer d'ici.
CANNOT_SKILL_USE_SELF	Je ne peux pas utiliser ceci sur moi.
CANNOT_SKILL_WAIT_COOLTIME	Je ne peux pas utiliser cette compétence maintenant.
CANNOT_USE	Vous ne pouvez pas utiliser ceci.
CANNOT_WHISPER_DEST_REFUSE	%s a bloqué les chuchotements.	SA
CANNOT_WHISPER_NOT_LOGON	%s n'est pas en ligne.	SA
CANNOT_WHISPER_SELF_REFUSE	Vous ne pouvez pas chuchoter lorsque vous avez bloqué cette option.	SNA
CHANNEL	Canal
CHANNELING_CANNOT_LOGOUT	Vous ne pouvez pas retourner à la fenêtre d'enregistrement.
CHANNEL_EMPTY_SERVER	Pas de serveur
CHANNEL_NORMAL	Canal %d
CHANNEL_NOTIFY_FULL	Ce chan est actuellement complet ! Veuillez en sélectionner un autre.
CHANNEL_NOT_FIND_INFO	Aucune information sur ce canal n'a pu être trouvée.
CHANNEL_PVP	Duel libre
CHANNEL_SELECT_CHANNEL	Choisissez un canal.
CHANNEL_SELECT_REGION	Choisissez une région pour émettre une facture.
CHANNEL_SELECT_SERVER	Choisissez le serveur.
CHANNEL_TEST_SERVER	Test serveur
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHAT_ALL	Tous
CHAT_BLOCK	Bloquer
CHAT_GUILD	Guilde
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	Cette phrase contient des mots invalides
CHAT_LOG	Voir les anciens messages [L]
CHAT_LOG_TITLE	Protocole du tchat
CHAT_NORMAL	Normal
CHAT_NOTICE	Annonce
CHAT_PARTY	Groupe
CHAT_SEND_CHAT	Envoyer discussion
CHAT_SEND_MEMO	Envoyer chuchotement [Shift+Entrée]
CHAT_SHOUT	Général
CHAT_SHOUT_LIMIT	Vous ne pouvez parler qu'une fois toutes les 15 secondes
CHAT_WHISPER	Chuchotement
CREATE_ERROR_GM_NAME	Vous n'êtes pas autorisé à utiliser ,GM dans le nom de votre personnage.
CREATE_ERROR_INSULT_NAME	Ce nom n'est pas valide.
