//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//-----------------------------------------------------------------------------------
//Portails
m	1472	73	0	0	0	0	1m	100	1	10007
m	131	746	0	0	0	0	1m	100	1	10009
m	640	1436	0	0	0	0	1m	100	1	10011
m	767	792	0	0	0	0	1m	100	1	10013
//-----------------------------------------------------------------------------------
//PNJ
m	800	900	0	0	0	0	1m	100	1	9012
m	295	1442	0	0	0	0	1m	100	1	20091
m	282	1455	0	0	0	0	1m	100	1	20093
m	770	730	0	0	0	0	1m	100	1	20353
m	945	760	0	0	0	0	1m	100	1	20356
//-----------------------------------------------------------------------------------
//empire castle
m	1219 	515	0	0	0	0	1m	100	1	20097
m	362	462	0	0	0	0	1m	100	1	20098
m	706	1147	0	0	0	0	1m	100	1	20099
//-----------------------------------------------------------------------------------
//Portail parallèle
m	687	915	0	0	0	0	1m	100	1	20096
m	687	915	0	0	0	0	1m	100	1	10062
//-----------------------------------------------------------------------------------
//Autre (désactivé)
//s	0	0	0	0	0	0	600s	100	10	5004
