//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//-----------------------------------------------------------------------------------
//Portails
m	136	880	0	0	0	0	1m	100	1	10022
m	593	71	0	0	0	8	1m	100	1	10069
//-----------------------------------------------------------------------------------
//Marchands
m	448	387	0	0	0	6	1m	100	1	9001
m	461	374	0	0	0	6	1m	100	1	9002
m	391	353	0	0	0	2	1m	100	1	9003
//-----------------------------------------------------------------------------------
//PNJ
m	471	347	0	0	0	7	1m	100	1	9005
m	419	309	0	0	0	1	1m	100	1	9006
m	345	355	0	0	0	7	1m	100	1	9012
m	431	357	0	0	0	0	1m	100	1	11002
m	415	370	0	0	0	0	1m	100	1	11003
m	772	140	0	0	0	7	1m	100	1	20009
m	397	302	0	0	0	0	1m	100	1	20010
m	396	344	0	0	0	2	1m	100	1	20016
m	406	419	1	1	0	0	1m	100	1	20012
m	383	400	0	0	0	0	1m	100	1	20014
m	466	321	0	0	0	0	1m	100	1	20015
m	376	318	1	1	0	0	1m	100	1	20017
m	482	330	1	1	0	0	1m	100	1	20019
m	376	378	1	1	0	0	1m	100	1	20021
m	409	268	0	0	0	0	1m	100	1	20020
m	449	303	0	0	0	0	1m	100	1	20022
m	489	355	1	1	0	0	1m	100	1	20024
m	628	723	0	0	0	0	1m	100	1	20042
m	445	276	0	0	0	1	1m	100	1	20349
m	805	865	0	0	0	0	1m	100	1	20364
//-----------------------------------------------------------------------------------
//Autre (désactivé)
s	0	0	0	0	0	0	3600s  100	1	5001
s	0	0	0	0	0	0	7200s  100	1	5002
s	0	0	0	0	0	0	600s	100	5	5004
g	452	266	1	1	0	0	1m	100	1	12007
