//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//-----------------------------------------------------------------------------------
//Portails
m	161	943	0	0	0	0	1m	100	1	10014
//-----------------------------------------------------------------------------------
//PNJ
m	570	820	0	0	0	0	1m	100	1	9012
m	532	596	0	0	0	0	1m	100	1	20348
m	554	526	0	0	0	0	1m	100	1	20363
m	542	492	0	0	0	6	1m	100	1	20367
m	502	446	0	0	0	1	1m	100	1	20369
m	505	446	0	0	0	1	1m	100	1	20370
//-----------------------------------------------------------------------------------
//empire castle
m	822	875	0	0	0	0	60s	100	1	20097
m	822	895	0	0	0	0	60s	100	1	20098
m	822	915	0	0	0	0	60s	100	1	20099
//-----------------------------------------------------------------------------------
//Portail parallèle
m	589	817	0	0	0	0	1m	100	1	20096
m	589	817	0	0	0	0	1m	100	1	10060
