//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//----------------------------------------------------------------------------------
//Portail
m	1374	1405	0	0	0	0	1m	100	1	10080
//----------------------------------------------------------------------------------
//PNJ
m	95	30	0	0	0	0	1m	100	1	20090
m	1342	324	0	0	0	0	1m	100	1	30124
m	237	898	0	0	0	0	1m	100	1	30124
m	1018	983	0	0	0	0	1m	100	1	30125
m	151	1340	0	0	0	0	1m	100	1	30125
m	517	1405	0	0	0	0	1m	100	1	30126
m	365	898	0	0	0	0	1m	100	1	30127
m	830	857	0	0	0	0	1m	100	1	30123
