VNUM	LOCALE_NAME
1	Yang
2	Version française
10	Epée+0
11	Epée+1
12	Epée+2
13	Epée+3
14	Epée+4
15	Epée+5
16	Epée+6
17	Epée+7
18	Epée+8
19	Epée+9
20	Epée longue+0
21	Epée longue+1
22	Epée longue+2
23	Epée longue+3
24	Epée longue+4
25	Epée longue+5
26	Epée longue+6
27	Epée longue+7
28	Epée longue+8
29	Epée longue+9
30	Lame courbe+0
31	Lame courbe+1
32	Lame courbe+2
33	Lame courbe+3
34	Lame courbe+4
35	Lame courbe+5
36	Lame courbe+6
37	Lame courbe+7
38	Lame courbe+8
39	Lame courbe+9
40	Canne Epée+0
41	Canne Epée+1
42	Canne Epée+2
43	Canne Epée+3
44	Canne Epée+4
45	Canne Epée+5
46	Canne Epée+6
47	Canne Epée+7
48	Canne Epée+8
49	Canne Epée+9
50	Epée large+0
51	Epée large+1
52	Epée large+2
53	Epée large+3
54	Epée large+4
55	Epée large+5
56	Epée large+6
57	Epée large+7
58	Epée large+8
59	Epée large+9
60	Epée en argent+0
61	Epée en argent+1
62	Épée en argent+2
63	Epée en argent+3
64	Epée en argent+4
65	Epée en argent+5
66	Epée en argent+6
67	Epée en argent+7
68	Epée en argent+8
69	Epée en argent+9
70	Epée aux orchidées+0
71	Epée aux orchidées+1
72	Épée aux orchidées+2
73	Epée aux orchidées+3
74	Epée aux orchidées+4
75	Epée aux orchidées+5
76	Epée aux orchidées+6
77	Epée aux orchidées+7
78	Epée aux orchidées+8
79	Epée aux orchidées+9
80	Epée bâtarde+0
81	Epée bâtarde+1
82	Épée bâtarde+2
83	Epée bâtarde+3
84	Epée bâtarde+4
85	Epée bâtarde+5
86	Epée bâtarde+6
87	Epée bâtarde+7
88	Epée bâtarde+8
89	Epée bâtarde+9
90	Glaive barbare+0
91	Glaive barbare+1
92	Glaive barbare+2
93	Glaive barbare+3
94	Glaive barbare+4
95	Glaive barbare+5
96	Glaive barbare+6
97	Glaive barbare+7
98	Glaive barbare+8
99	Glaive barbare+9
100	Epée sanglante+0
101	Epée sanglante+1
102	Epée sanglante+2
103	Epée sanglante+3
104	Epée sanglante+4
105	Epée sanglante+5
106	Epée sanglante+6
107	Epée sanglante+7
108	Epée sanglante+8
109	Epée sanglante+9
110	Grande Epée+0
111	Grande Epée+1
112	Grande Epée+2
113	Grande Epée+3
114	Grande Epée+4
115	Grande Epée+5
116	Grande Epée+6
117	Grande Epée+7
118	Grande Epée+8
119	Grande Epée+9
120	Epée du magic. volant+0
121	Epée du magic. volant+1
122	Epée du magic. volant+2
123	Epée du magic. volant+3
124	Epée du magic. volant+4
125	Epée du magic. volant+5
126	Epée du magic. volant+6
127	Epée du magic. volant+7
128	Epée du magic. volant+8
129	Epée du magic. volant+9
130	Epée de demi-lune+0
131	Epée de demi-lune+1
132	Epée de demi-lune+2
133	Epée de demi-lune+3
134	Epée de demi-lune+4
135	Epée de demi-lune+5
136	Epée de demi-lune+6
137	Epée de demi-lune+7
138	Epée de demi-lune+8
139	Epée de demi-lune+9
140	Epée de bataille+0
141	Epée de bataille+1
142	Epée de bataille+2
143	Epée de bataille+3
144	Epée de bataille+4
145	Epée de bataille+5
146	Epée de bataille+6
147	Epée de bataille+7
148	Epée de bataille+8
149	Epée de bataille+9
150	Lame de croc fantôme+0
151	Lame de croc fantôme+1
152	Lame de croc fantôme+2
153	Lame de croc fantôme+3
154	Lame de croc fantôme+4
155	Lame de croc fantôme+5
156	Lame de croc fantôme+6
157	Lame de croc fantôme+7
158	Lame de croc fantôme+8
159	Lame de croc fantôme+9
160	Epée de nymphe+0
161	Epée de nymphe+1
162	Epée de nymphe+2
163	Epée de nymphe+3
164	Epée de nymphe+4
165	Epée de nymphe+5
166	Epée de nymphe+6
167	Epée de nymphe+7
168	Epée de nymphe+8
169	Epée de nymphe+9
170	Epée de piqûre+0
171	Epée de piqûre+1
172	Epée de piqûre+2
173	Epée de piqûre+3
174	Epée de piqûre+4
175	Epée de piqûre+5
176	Epée de piqûre+6
177	Epée de piqûre+7
178	Epée de piqûre+8
179	Epée de piqûre+9
180	Epée empoisonnée+0
181	Epée empoisonnée+1
182	Epée empoisonnée+2
183	Epée empoisonnée+3
184	Epée empoisonnée+4
185	Epée empoisonnée+5
186	Epée empoisonnée+6
187	Epée empoisonnée+7
188	Epée empoisonnée+8
189	Epée empoisonnée+9
190	Epée du lion+0
191	Epée du lion+1
192	Epée du lion+2
193	Epée du lion+3
194	Epée du lion+4
195	Epée du lion+5
196	Epée du lion+6
197	Epée du lion+7
198	Epée du lion+8
199	Epée du lion+9
200	Lame tranchante+0
201	Lame tranchante+1
202	Lame tranchante+2
203	Lame tranchante+3
204	Lame tranchante+4
205	Lame tranchante+5
206	Lame tranchante+6
207	Lame tranchante+7
208	Lame tranchante+8
209	Lame tranchante+9
210	Lame mortelle+0
211	Lame mortelle+1
212	Lame mortelle+2
213	Lame mortelle+3
214	Lame mortelle+4
215	Lame mortelle+5
216	Lame mortelle+6
217	Lame mortelle+7
218	Lame mortelle+8
219	Lame mortelle+9
220	Epée lunaire+0
221	Epée lunaire+1
222	Epée lunaire+2
223	Epée lunaire+3
224	Epée lunaire+4
225	Epée lunaire+5
226	Epée lunaire+6
227	Epée lunaire+7
228	Epée lunaire+8
229	Epée lunaire+9
230	Epée céleste+0
231	Epée céleste+1
232	Epée céleste+2
233	Epée céleste+3
234	Epée céleste+4
235	Epée céleste+5
236	Epée céleste+6
237	Epée céleste+7
238	Epée céleste+8
239	Epée céleste+9
240	Epée d\'exorcisme+0
241	Epée d\'exorcisme+1
242	Epée d\'exorcisme+2
243	Epée d\'exorcisme+3
244	Epée d\'exorcisme+4
245	Epée d\'exorcisme+5
246	Epée d\'exorcisme+6
247	Epée d\'exorcisme+7
248	Epée d\'exorcisme+8
249	Epée d\'exorcisme+9
250	Lame démoniaque+0
251	Lame démoniaque+1
252	Lame démoniaque+2
253	Lame démoniaque+3
254	Lame démoniaque+4
255	Lame démoniaque+5
256	Lame démoniaque+6
257	Lame démoniaque+7
258	Lame démoniaque+8
259	Lame démoniaque+9
260	Epée de baron+0
261	Epée de baron+1
262	Epée de baron+2
263	Epée de baron+3
264	Epée de baron+4
265	Epée de baron+5
266	Epée de baron+6
267	Epée de baron+7
268	Epée de baron+8
269	Epée de baron+9
270	Epée de Triton+0
271	Epée de Triton+1
272	Epée de Triton+2
273	Epée de Triton+3
274	Epée de Triton+4
275	Epée de Triton+5
276	Epée de Triton+6
277	Epée de Triton+7
278	Epée de Triton+8
279	Epée de Triton+9
280	Epée sacrée+0
281	Epée sacrée+1
282	Epée sacrée+2
283	Epée sacrée+3
284	Epée sacrée+4
285	Epée sacrée+5
286	Epée sacrée+6
287	Epée sacrée+7
288	Epée sacrée+8
289	Epée sacrée+9
290	Epée de la lune pleine+0
291	Epée de la lune pleine+1
292	Epée de la lune pleine+2
293	Epée de la lune pleine+3
294	Epée de la lune pleine+4
295	Epée de la lune pleine+5
296	Epée de la lune pleine+6
297	Epée de la lune pleine+7
298	Epée de la lune pleine+8
299	Epée de la lune pleine+9
460	Épée runique +0
461	Épée runique +1
462	Épée runique +2
463	Épée runique +3
464	Épée runique +4
465	Épée runique +5
466	Épée runique +6
467	Épée runique +7
468	Épée runique +8
469	Épée runique +9
470	Lame dent de dragon +0
471	Lame dent de dragon +1
472	Lame dent de dragon +2
473	Lame dent de dragon +3
474	Lame dent de dragon +4
475	Lame dent de dragon +5
476	Lame dent de dragon +6
477	Lame dent de dragon +7
478	Lame dent de dragon +8
479	Lame dent de dragon +9
1000	Dague+0
1001	Dague+1
1002	Dague+2
1003	Dague+3
1004	Dague+4
1005	Dague+5
1006	Dague+6
1007	Dague+7
1008	Dague+8
1009	Dague+9
1010	Dague cobra+0
1011	Dague cobra+1
1012	Dague cobra+2
1013	Dague cobra+3
1014	Dague cobra+4
1015	Dague cobra+5
1016	Dague cobra+6
1017	Dague cobra+7
1018	Dague cobra+8
1019	Dague cobra+9
1020	Dagues ciseaux+0
1021	Dagues ciseaux+1
1022	Dagues ciseaux+2
1023	Dagues ciseaux+3
1024	Dagues ciseaux+4
1025	Dagues ciseaux+5
1026	Dagues ciseaux+6
1027	Dagues ciseaux+7
1028	Dagues ciseaux+8
1029	Dagues ciseaux+9
1030	Couteau porte-bonheur+0
1031	Couteau porte-bonheur+1
1032	Couteau porte-bonheur+2
1033	Couteau porte-bonheur+3
1034	Couteau porte-bonheur+4
1035	Couteau porte-bonheur+5
1036	Couteau porte-bonheur+6
1037	Couteau porte-bonheur+7
1038	Couteau porte-bonheur+8
1039	Couteau porte-bonheur+9
1040	Cout. Morsure de Chat+0
1041	Cout. Morsure de Chat+1
1042	Cout. Morsure de Chat+2
1043	Cout. Morsure de Chat+3
1044	Cout. Morsure de Chat+4
1045	Cout. Morsure de Chat+5
1046	Cout. Morsure de Chat+6
1047	Cout. Morsure de Chat+7
1048	Cout. Morsure de Chat+8
1049	Cout. Morsure de Chat+9
1050	Poig. Visage de Diable+0
1051	Poig. Visage de Diable+1
1052	Poig. Visage de Diable+2
1053	Poig. Visage de Diable+3
1054	Poig. Visage de Diable+4
1055	Poig. Visage de Diable+5
1056	Poig. Visage de Diable+6
1057	Poig. Visage de Diable+7
1058	Poig. Visage de Diable+8
1059	Poig. Visage de Diable+9
1060	Dague du poing diab.+0
1061	Dague du poing diab.+1
1062	Dague du poing diab.+2
1063	Dague du poing diab.+3
1064	Dague du poing diab.+4
1065	Dague du poing diab.+5
1066	Dague du poing diab.+6
1067	Dague du poing diab.+7
1068	Dague du poing diab.+8
1069	Dague du poing diab.+9
1070	Dague sanglante+0
1071	Dague sanglante+1
1072	Dague sanglante+2
1073	Dague sanglante+3
1074	Dague sanglante+4
1075	Dague sanglante+5
1076	Dague sanglante+6
1077	Dague sanglante+7
1078	Dague sanglante+8
1079	Dague sanglante+9
1080	Couteau de Nervure+0
1081	Couteau de Nervure+1
1082	Couteau de Nervure+2
1083	Couteau de Nervure+3
1084	Couteau de Nervure+4
1085	Couteau de Nervure+5
1086	Couteau de Nervure+6
1087	Couteau de Nervure+7
1088	Couteau de Nervure+8
1089	Couteau de Nervure+9
